Team Name,Team Abbr.,League,Season,Division,Division Rank,Conference,Conference Rank,Play-In,Win Play-In,First Round Wins,First Round Losses,First Round Opp.,Won First Round,Second Round Wins,Second Round Losses,Second Round Opp.,Won Second Round,Semifinals Wins,Semifinals Losses,Semifinals Opp.,Won Semifinals,Finals Wins,Finals Losses,Finals Opp.,Won Finals
Miami Heat,MIA,NBA,2012,Southeast,1,Eastern,2,No,No,4,1,New York Knicks,Yes,4,2,Indiana Pacers,Yes,4,3,Boston Celtics,Yes,4,1,Oklahoma City Thunder,Yes
Indiana Pacers,IND,NBA,2012,Central,2,Eastern,3,No,No,4,1,Orlando Magic,Yes,2,4,Miami Heat,No,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,2012,Atlantic,1,Eastern,4,No,No,2,4,Atlanta Hawks,No,4,3,Philadelphia 76ers,Yes,3,4,Miami Heat,No,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,2012,Southeast,2,Eastern,5,No,No,4,2,Boston Celtics,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orlando Magic,ORL,NBA,2012,Southeast,3,Eastern,6,No,No,1,4,Indiana Pacers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,2012,Atlantic,2,Eastern,7,No,No,1,4,Miami Heat,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,2012,Atlantic,3,Eastern,8,No,No,4,2,Chicago Bulls,Yes,3,4,Boston Celtics,No,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee Bucks,MIL,NBA,2012,Central,3,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,2012,Central,4,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronto Raptors,TOR,NBA,2012,Atlantic,4,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Jersey Nets,NJN,NBA,2012,Atlantic,5,Eastern,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,2012,Central,5,Eastern,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Wizards,WAS,NBA,2012,Southeast,4,Eastern,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Bobcats,CHA,NBA,2012,Southeast,5,Eastern,15,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Spurs,SAS,NBA,2012,Southwest,1,Western,1,No,No,4,0,Utah Jazz,Yes,4,0,Los Angeles Clippers,Yes,2,4,Oklahoma City Thunder,No,NA,NA,NA,NA
Oklahoma City Thunder,OKC,NBA,2012,Northwest,1,Western,2,No,No,4,0,Dallas Mavericks,Yes,4,1,Los Angeles Lakers,Yes,4,2,San Antonio Spurs,Yes,1,4,Miami Heat,No
Los Angeles Lakers,LAL,NBA,2012,Pacific,1,Western,3,No,No,4,3,Denver Nuggets,Yes,1,4,Oklahoma City Thunder,No,NA,NA,NA,NA,NA,NA,NA,NA
Memphis Grizzlies,MEM,NBA,2012,Southwest,2,Western,4,No,No,3,4,Los Angeles Clippers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Clippers,LAC,NBA,2012,Pacific,2,Western,5,No,No,4,3,Memphis Grizzlies,Yes,0,4,San Antonio Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DEN,NBA,2012,Northwest,2,Western,6,No,No,3,4,Los Angeles Lakers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,2012,Southwest,3,Western,7,No,No,0,4,Oklahoma City Thunder,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Jazz,UTA,NBA,2012,Northwest,3,Western,8,No,No,0,4,San Antonio Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Rockets,HOU,NBA,2012,Southwest,4,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,2012,Pacific,3,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,2012,Northwest,4,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Timberwolves,MIN,NBA,2012,Northwest,5,Western,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden State Warriors,GSW,NBA,2012,Pacific,4,Western,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Kings,SAC,NBA,2012,Pacific,5,Western,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Orleans Hornets,NOH,NBA,2012,Southwest,5,Western,15,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami Heat,MIA,NBA,2013,Southeast,1,Eastern,1,No,No,4,0,Milwaukee Bucks,Yes,4,1,Chicago Bulls,Yes,4,3,Indiana Pacers,Yes,4,3,San Antonio Spurs,Yes
New York Knicks,NYK,NBA,2013,Atlantic,1,Eastern,2,No,No,4,2,Boston Celtics,Yes,2,4,Indiana Pacers,No,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,2013,Central,1,Eastern,3,No,No,4,2,Atlanta Hawks,Yes,4,2,New York Knicks,Yes,3,4,Miami Heat,No,NA,NA,NA,NA
Brooklyn Nets,BRK,NBA,2013,Atlantic,2,Eastern,4,No,No,3,4,Chicago Bulls,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bulls,CHI,NBA,2013,Central,2,Eastern,5,No,No,4,3,New Jersey Nets,Yes,1,4,Miami Heat,No,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,2013,Southeast,2,Eastern,6,No,No,2,4,Indiana Pacers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,2013,Atlantic,3,Eastern,7,No,No,2,4,New York Knicks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee Bucks,MIL,NBA,2013,Central,3,Eastern,8,No,No,0,4,Miami Heat,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,2013,Atlantic,4,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Toronto Raptors,TOR,NBA,2013,Atlantic,5,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,2013,Central,4,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Wizards,WAS,NBA,2013,Southeast,3,Eastern,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,2013,Central,5,Eastern,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Bobcats,CHA,NBA,2013,Southeast,4,Eastern,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orlando Magic,ORL,NBA,2013,Southeast,5,Eastern,15,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma City Thunder,OKC,NBA,2013,Northwest,1,Western,1,No,No,4,2,Houston Rockets,Yes,1,4,Memphis Grizzlies,No,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Spurs,SAS,NBA,2013,Southwest,1,Western,2,No,No,4,0,Los Angeles Lakers,Yes,4,2,Golden State Warriors,Yes,4,0,Memphis Grizzlies,Yes,3,4,Miami Heat,No
Denver Nuggets,DEN,NBA,2013,Northwest,2,Western,3,No,No,2,4,Golden State Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Clippers,LAC,NBA,2013,Pacific,1,Western,4,No,No,2,4,Memphis Grizzlies,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis Grizzlies,MEM,NBA,2013,Southwest,1,Western,5,No,No,4,2,Los Angeles Clippers,Yes,4,1,Memphis Grizzlies,Yes,0,4,San Antonio Spurs,No,NA,NA,NA,NA
Golden State Warriors,GSW,NBA,2013,Pacific,2,Western,6,No,No,4,2,Denver Nuggets,Yes,2,4,San Antonio Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,2013,Pacific,3,Western,7,No,No,0,4,San Antonio Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Rockets,HOU,NBA,2013,Southwest,2,Western,8,No,No,2,4,Oklahoma City Thunder,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Jazz,UTA,NBA,2013,Northwest,3,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,2013,Southwest,4,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,2013,Northwest,4,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Timberwolves,MIN,NBA,2013,Northwest,5,Western,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Kings,SAC,NBA,2013,Pacific,4,Western,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Orleans Hornets,NOH,NBA,2013,Southwest,5,Western,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,2013,Pacific,5,Western,15,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,2014,Central,1,Eastern,1,No,No,4,3,Atlanta Hawks,Yes,4,2,Washington Wizards,Yes,2,4,Miami Heat,No,NA,NA,NA,NA
Miami Heat,MIA,NBA,2014,Southeast,1,Eastern,2,No,No,4,0,Charlotte Bobcats,Yes,4,1,Brooklyn Nets,Yes,4,2,Indiana Pacers,Yes,1,4,San Antonio Spurs,No
Toronto Raptors,TOR,NBA,2014,Atlantic,1,Eastern,3,No,No,3,4,Brooklyn Nets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bulls,CHI,NBA,2014,Central,2,Eastern,4,No,No,1,4,Washington Wizards,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Wizards,WAS,NBA,2014,Southeast,2,Eastern,5,No,No,4,1,Chicago Bulls,Yes,2,4,Indiana Pacers,No,NA,NA,NA,NA,NA,NA,NA,NA
Brooklyn Nets,BRK,NBA,2014,Atlantic,2,Eastern,6,No,No,4,3,Toronto Raptors,Yes,1,4,Miami Heat,No,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Bobcats,CHA,NBA,2014,Southeast,3,Eastern,7,No,No,0,4,Miami Heat,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,2014,Southeast,4,Eastern,8,No,No,3,4,Indiana Pacers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,2014,Atlantic,3,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,2014,Central,3,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,2014,Central,4,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,2014,Atlantic,4,Eastern,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orlando Magic,ORL,NBA,2014,Southeast,5,Eastern,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,2014,Atlantic,5,Eastern,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee Bucks,MIL,NBA,2014,Central,5,Eastern,15,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Spurs,SAS,NBA,2014,Southwest,1,Western,1,No,No,4,3,Dallas Mavericks,Yes,4,1,Portland Trail Blazers,Yes,4,2,Oklahoma City Thunder,Yes,4,1,Miami Heat,Yes
Oklahoma City Thunder,OKC,NBA,2014,Northwest,1,Western,2,No,No,4,3,Memphis Grizzlies,Yes,4,2,Los Angeles Clippers,Yes,2,4,San Antonio Spurs,No,NA,NA,NA,NA
Los Angeles Clippers,LAC,NBA,2014,Pacific,1,Western,3,No,No,4,3,Golden State Warriors,Yes,2,4,Oklahoma City Thunder,No,NA,NA,NA,NA,NA,NA,NA,NA
Houston Rockets,HOU,NBA,2014,Southwest,2,Western,4,No,No,2,4,Portland Trail Blazers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,2014,Northwest,2,Western,5,No,No,4,2,Houston Rockets,Yes,1,4,San Antonio Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA
Golden State Warriors,GSW,NBA,2014,Pacific,2,Western,6,No,No,3,4,Los Angeles Clippers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis Grizzlies,MEM,NBA,2014,Southwest,3,Western,7,No,No,3,4,Oklahoma City Thunder,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,2014,Southwest,4,Western,8,No,No,3,4,San Antonio Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,2014,Pacific,3,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Timberwolves,MIN,NBA,2014,Northwest,3,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DEN,NBA,2014,Northwest,4,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Orleans Pelicans,NOP,NBA,2014,Southwest,5,Western,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Kings,SAC,NBA,2014,Pacific,4,Western,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,2014,Pacific,5,Western,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Jazz,UTA,NBA,2014,Northwest,5,Western,15,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,2015,Southeast,1,Eastern,1,No,No,4,2,Brooklyn Nets,Yes,4,2,Washington Wizards,Yes,0,4,Cleveland Cavaliers,No,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,2015,Central,1,Eastern,2,No,No,4,0,Boston Celtics,Yes,4,2,Chicago Bulls,Yes,4,0,Atlanta Hawks,Yes,2,4,Golden State Warriors,No
Chicago Bulls,CHI,NBA,2015,Central,2,Eastern,3,No,No,4,2,Milwaukee Bucks,Yes,2,4,Cleveland Cavaliers,No,NA,NA,NA,NA,NA,NA,NA,NA
Toronto Raptors,TOR,NBA,2015,Atlantic,1,Eastern,4,No,No,0,4,Washington Wizards,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Wizards,WAS,NBA,2015,Southeast,2,Eastern,5,No,No,4,0,Toronto Raptors,Yes,2,4,Atlanta Hawks,No,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee Bucks,MIL,NBA,2015,Central,3,Eastern,6,No,No,2,4,Chicago Bulls,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,2015,Atlantic,2,Eastern,7,No,No,0,4,Cleveland Cavaliers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brooklyn Nets,BRK,NBA,2015,Atlantic,3,Eastern,8,No,No,2,4,Atlanta Hawks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,2015,Central,4,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami Heat,MIA,NBA,2015,Southeast,3,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Hornets,CHO,NBA,2015,Southeast,4,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,2015,Central,5,Eastern,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orlando Magic,ORL,NBA,2015,Southeast,5,Eastern,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,2015,Atlantic,4,Eastern,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,2015,Atlantic,5,Eastern,15,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden State Warriors,GSW,NBA,2015,Pacific,1,Western,1,No,No,4,0,New Orleans Pelicans,Yes,4,2,Memphis Grizzlies,Yes,4,1,Houston Rockets,Yes,4,2,Cleveland Cavaliers,Yes
Houston Rockets,HOU,NBA,2015,Southwest,1,Western,2,No,No,4,1,Dallas Mavericks,Yes,4,3,Los Angeles Clippers,Yes,1,4,Golden State Warriors,No,NA,NA,NA,NA
Los Angeles Clippers,LAC,NBA,2015,Pacific,2,Western,3,No,No,4,3,San Antonio Spurs,Yes,3,4,Houston Rockets,No,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,2015,Northwest,1,Western,4,No,No,1,4,Memphis Grizzlies,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis Grizzlies,MEM,NBA,2015,Southwest,2,Western,5,No,No,4,1,Portland Trail Blazers,Yes,2,4,Golden State Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio Spurs,SAS,NBA,2015,Southwest,3,Western,6,No,No,3,4,Los Angeles Clippers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,2015,Southwest,4,Western,7,No,No,1,4,Houston Rockets,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Orleans Pelicans,NOP,NBA,2015,Southwest,5,Western,8,No,No,0,4,Golden State Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma City Thunder,OKC,NBA,2015,Northwest,2,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,2015,Pacific,3,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Jazz,UTA,NBA,2015,Northwest,3,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DEN,NBA,2015,Northwest,4,Western,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Kings,SAC,NBA,2015,Pacific,4,Western,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,2015,Pacific,5,Western,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Timberwolves,MIN,NBA,2015,Northwest,5,Western,15,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,2016,Central,1,Eastern,1,No,No,4,0,Detroit Pistons,Yes,4,0,Atlanta Hawks,Yes,4,2,Toronto Raptors,Yes,4,3,Golden State Warriors,Yes
Toronto Raptors,TOR,NBA,2016,Atlantic,1,Eastern,2,No,No,4,3,Indiana Pacers,Yes,4,3,Miami Heat,Yes,2,4,Cleveland Cavaliers,No,NA,NA,NA,NA
Miami Heat,MIA,NBA,2016,Southeast,1,Eastern,3,No,No,4,3,Charlotte Hornets,Yes,3,4,Toronto Raptors,No,NA,NA,NA,NA,NA,NA,NA,NA
Atlanta Hawks,ATL,NBA,2016,Southeast,2,Eastern,4,No,No,4,2,Boston Celtics,Yes,0,4,Cleveland Cavaliers,No,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,2016,Atlantic,2,Eastern,5,No,No,2,4,Atlanta Hawks,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Charlotte Hornets,CHO,NBA,2016,Southeast,3,Eastern,6,No,No,3,4,Miami Heat,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Indiana Pacers,IND,NBA,2016,Central,2,Eastern,7,No,No,3,4,Toronto Raptors,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Detroit Pistons,DET,NBA,2016,Central,3,Eastern,8,No,No,0,4,Cleveland Cavaliers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chicago Bulls,CHI,NBA,2016,Central,4,Eastern,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Washington Wizards,WAS,NBA,2016,Southeast,4,Eastern,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orlando Magic,ORL,NBA,2016,Southeast,5,Eastern,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Milwaukee Bucks,MIL,NBA,2016,Central,5,Eastern,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New York Knicks,NYK,NBA,2016,Atlantic,3,Eastern,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brooklyn Nets,BRK,NBA,2016,Atlantic,4,Eastern,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Philadelphia 76ers,PHI,NBA,2016,Atlantic,5,Eastern,15,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Golden State Warriors,GSW,NBA,2016,Pacific,1,Western,1,No,No,4,1,Houston Rockets,Yes,4,1,Portland Trail Blazers,Yes,4,3,Oklahoma City Thunder,Yes,3,4,Cleveland Cavaliers,No
San Antonio Spurs,SAS,NBA,2016,Southwest,1,Western,2,No,No,4,0,Memphis Grizzlies,Yes,2,4,Oklahoma City Thunder,No,NA,NA,NA,NA,NA,NA,NA,NA
Oklahoma City Thunder,OKC,NBA,2016,Northwest,1,Western,3,No,No,4,1,Dallas Mavericks,Yes,4,2,San Antonio Spurs,Yes,3,4,Golden State Warriors,No,NA,NA,NA,NA
Los Angeles Clippers,LAC,NBA,2016,Pacific,2,Western,4,No,No,2,4,Portland Trail Blazers,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Portland Trail Blazers,POR,NBA,2016,Northwest,2,Western,5,No,No,4,2,Los Angeles Clippers,Yes,1,4,Golden State Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA
Dallas Mavericks,DAL,NBA,2016,Southwest,2,Western,6,No,No,1,4,Oklahoma City Thunder,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Memphis Grizzlies,MEM,NBA,2016,Southwest,3,Western,7,No,No,0,4,San Antonio Spurs,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Houston Rockets,HOU,NBA,2016,Southwest,4,Western,8,No,No,1,4,Golden State Warriors,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Utah Jazz,UTA,NBA,2016,Northwest,3,Western,9,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sacramento Kings,SAC,NBA,2016,Pacific,3,Western,10,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denver Nuggets,DEN,NBA,2016,Northwest,4,Western,11,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Orleans Pelicans,NOP,NBA,2016,Southwest,5,Western,12,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Minnesota Timberwolves,MIN,NBA,2016,Northwest,5,Western,13,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phoenix Suns,PHO,NBA,2016,Pacific,4,Western,14,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Los Angeles Lakers,LAL,NBA,2016,Pacific,5,Western,15,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boston Celtics,BOS,NBA,2017,Atlantic,1,Eastern,1,No,No,4,2,Chicago Bulls,Yes,4,3,Washington Wizards,Yes,1,4,Cleveland Cavaliers,No,NA,NA,NA,NA
Cleveland Cavaliers,CLE,NBA,2017,Central,1,Eastern,2,No,No,4,0,Indiana Pacers,Yes,4,0,Toronto Raptors,Yes,4,1,Boston Celtics,Yes,1,4,Golden State Warriors,No
Toronto Raptors,TOR,NBA,2017,Atlantic,2,Eastern,3,No,No,4,2,Milwaukee Bucks,Yes,0,4,Cleveland Cavaliers,No,NA,NA,NA,NA,NA,NA,NA,NA
Washington Wizards,WAS,NBA,2017,Southeast,1,Eastern,4,No,No,4,2,Atlanta Hawks,Yes,3,4,Boston Celtics,No,NA,NA,NA,NA,NA,NA,NA,NA
